gyro_raw_y,gyro_raw_x,gyro_raw_z,pressure,compass_raw_z,compass_raw_y,compass_raw_x,temp,accel_row_z,accel_row_y,accel_row_x,time,velocity,displacement
0.001139598,0.019498967,0.007666955,1012.628662,2.264195442,-25.86873055,-18.65163422,35.20193481,0.974299967,-0.019298071,0.022547469,1631164887.0,0.0,0.0
0.000202389,0.012135364,0.00813753,1012.633057,2.805259228,-38.76583099,-28.33900833,35.20193481,0.97381264,-0.020504201,0.0237597,1631164887.0,0.0,0.0
0.002254582,0.014206655,0.008344445,1012.628906,3.026926517,-45.67494202,-33.18541336,35.16522217,0.972837806,-0.021469103,0.022789916,1631164887.0,0.0,0.0
0.000951533,0.013507627,0.006769674,1012.629395,3.910430431,-48.87731171,-35.62296295,35.16522217,0.972837806,-0.020262975,0.022062579,1631164887.0,0.0,0.0
0.001475014,0.013123445,0.007009329,1012.633301,4.496857166,-50.54515457,-36.83429337,35.16522217,0.974787354,-0.020745426,0.023517253,1631164887.0,0.0,0.0
0.002282766,0.010715775,0.006646853,1012.632324,4.45156908,-51.55907059,-37.4312973,35.16522217,0.973081529,-0.019539297,0.022789916,1631164887.0,0.0,0.0
0.000683237,0.009548843,0.007228481,1012.630859,4.281221867,-51.97487259,-37.69538116,35.18357849,0.97381264,-0.02002175,0.023274807,1631164887.0,0.0,0.0
0.00335719,0.00967586,0.005404027,1012.627686,4.199938774,-52.25175476,-37.67836761,35.23865128,0.972594142,-0.020262975,0.022305025,1631164887.0,0.0,0.0
0.000553158,0.009806938,0.00515108,1012.629639,4.516200542,-52.47590637,-37.94099808,35.16522217,0.974299967,-0.020262975,0.023032364,1631164887.0,0.0,0.0
0.001992071,0.008414954,0.005491171,1012.637695,3.750145674,-52.70815277,-37.95102692,35.16522217,0.974056304,-0.020745426,0.020123012,1631164887.0,0.0,0.0
0.001532699,0.009183735,0.004608495,1012.631836,3.438342571,-52.80577469,-38.04254913,35.31208038,0.974543691,-0.02002175,0.022062579,1631164888.0,0.0003234483721377593,0.0003234483721377593
0.001196874,0.006671168,0.005291093,1012.631836,3.135371923,-52.77051163,-38.04546738,35.16522217,0.974787354,-0.020504201,0.02497193,1631164888.0,0.003821572799326509,0.004145021171464269
0.0002321,0.010769978,0.003261885,1012.626953,3.344820738,-52.63713074,-38.24334335,35.16522217,0.975274801,-0.019539297,0.022305025,1631164888.0,0.011269556733398396,0.015414577904862664
0.001997663,0.007012472,0.003986008,1012.624512,3.140203714,-53.04751968,-38.40925598,35.23865128,0.973568916,-0.01881562,0.022547469,1631164888.0,0.001911276266497331,0.017325854171359997
0.000131733,0.006694928,0.005014656,1012.619873,3.345657349,-52.79062653,-38.27776337,35.2570076,0.974056304,-0.019298071,0.022062579,1631164888.0,-0.0026858500503610487,0.014640004120998949
0.001626614,0.005741969,0.002989141,1012.616211,3.436922073,-52.80224991,-38.26882553,35.16522217,0.974299967,-0.018574392,0.023032364,1631164888.0,-0.004812419313071201,0.009827584807927748
0.000955211,0.008670926,0.0028359,1012.621338,3.518909693,-52.86940765,-38.23275375,35.18357849,0.975762188,-0.02002175,0.021577686,1631164888.0,0.007348542587115748,0.017176127395043497
0.001508622,0.002871066,0.002675284,1012.621582,3.510468245,-52.59592056,-38.16866684,35.23865128,0.976736963,-0.020745426,0.022305025,1631164888.0,0.02937262866192053,0.04654875605696403
0.001739344,0.006233335,0.003683709,1012.622559,3.893340588,-52.65599442,-37.91373062,35.14686203,0.97381264,-0.020504201,0.02133524,1631164888.0,0.02246980581248996,0.06901856186945399
0.001713082,0.004723527,0.001404118,1012.622803,3.753666401,-52.85089874,-37.86364746,35.2570076,0.973081529,-0.020504201,0.022305025,1631164888.0,0.008613700106501962,0.07763226197595595
0.001067675,0.006546274,0.00275618,1012.62085,3.278995991,-52.8995018,-37.93864059,35.29372406,0.975762188,-0.018574392,0.021820132,1631164888.0,0.020546919767073277,0.09817918174302923
-0.000451509,0.003583878,0.002939938,1012.624268,3.316093445,-52.55986023,-37.99221039,35.36715698,0.974056304,-0.019539297,0.024002146,1631164888.0,0.01644647545956098,0.11462565720259021
-0.000133957,0.002805777,0.003109794,1012.623291,3.081423759,-53.2389946,-37.94670105,35.36715698,0.97381264,-0.019298071,0.022789916,1631164888.0,0.009625089431916287,0.1242507466345065
0.000708479,0.002036303,0.003861394,1012.627441,3.34521389,-53.02864456,-37.93909836,35.18357849,0.974056304,-0.019539297,0.023274807,1631164888.0,0.0053516325041571815,0.12960237913866368
-0.000497646,0.003016181,0.003715208,1012.625977,3.424175262,-52.74938202,-37.86197662,35.18357849,0.976005912,-0.020986654,0.021820132,1631164889.0,0.03495467894296559,0.19951173702459485
